ES1 Index, E-mini S&P 500
DM1 Index, E-mini DJIA
NQ1 Index, E-mini NASDAQ-100
RTA1 Index, Russell 2000 Index Mini
FA1 Index, E-mini S&P MidCap 400
CL1 Comdty, Crude Oil (WTI)
CO1 Comdty, Crude Oil (Brent)
XB1 Comdty, Gasoline (RBOB)
NG1 Comdty, Natural Gas
HO1 Comdty, Heating Oil
HG1 Comdty, Copper
GC1 Comdty, Gold (100oz)
PA1 Comdty, Palladium
PL1 Comdty, Platinum
SI1 Comdty, Silver
FV1 Comdty, US Treasury Note (5yr)
US1 Comdty, US Treasury Long Bond
TY1 Comdty, US Treasury Note (10yr)
TU1 Comdty, US Treasury Note (2yr)
ED1 Comdty, Eurodollar (3Mo)
EC1 Curncy, EUR/USD
JY1 Curncy, JPY/USD
AD1 Curncy, AUD/USD
BP1 Curncy, GBP/USD
CD1 Curncy, CAD/USD
